,0,1,2,3,4,5,6,7,8,9
47,UNS:0.041884,UNS:0.046514,-1.0,UNS:0.040144,UNS:0.040866,UNS:0.038714,UNS:0.038633,UNS:0.049226,UNS:0.0396,UNS:0.038609
48,UNS:0.039497,UNS:0.038271,UNS:0.042107,UNS:0.038606,-1.0,UNS:0.03907,UNS:0.040992,UNS:0.038759,UNS:0.040238,UNS:0.038776
49,UNS:0.044749,UNS:0.083218,UNS:0.039247,UNS:0.051629,-1.0,UNS:0.038794,UNS:0.038759,UNS:0.040131,UNS:0.038251,UNS:0.038463
50,UNS:0.038965,UNS:0.048839,UNS:0.038999,UNS:0.03851,UNS:0.037697,UNS:0.038564,-1.0,UNS:0.041407,UNS:0.038328,UNS:0.03955
51,UNS:0.064406,UNS:0.040007,UNS:0.038532,-1.0,UNS:0.054015,UNS:0.038947,UNS:0.039779,UNS:0.038458,UNS:0.063103,UNS:0.041094
52,UNS:0.038773,UNS:0.040043,UNS:0.039705,UNS:0.040516,UNS:0.043103,-1.0,UNS:0.03828,UNS:0.039237,UNS:0.039252,UNS:0.042637
53,UNS:0.040781,UNS:0.03848,UNS:0.039032,UNS:0.038499,UNS:0.037471,-1.0,UNS:0.149764,UNS:0.039461,UNS:0.040915,UNS:0.055295
54,UNS:0.041218,UNS:0.059554,UNS:0.039325,UNS:0.039303,UNS:0.038501,UNS:0.040938,-1.0,UNS:0.03897,UNS:0.057831,UNS:0.053562
55,-1.0,UNS:0.037763,UNS:0.038204,UNS:0.037942,UNS:0.039811,UNS:0.039881,UNS:0.038033,UNS:0.038745,UNS:0.038014,UNS:0.038758
56,UNS:0.03804,UNS:0.039136,UNS:0.038532,UNS:0.042563,-1.0,UNS:0.040399,UNS:0.038436,UNS:0.039053,UNS:0.037841,UNS:0.044301
57,UNS:0.039827,-1.0,UNS:0.039092,UNS:0.039718,UNS:0.04708,UNS:0.108154,UNS:0.037628,UNS:0.039689,UNS:0.039814,UNS:0.041458
58,UNS:0.051932,UNS:0.042571,UNS:0.042231,UNS:0.038473,UNS:0.108917,UNS:0.03967,UNS:0.041593,UNS:0.04054,UNS:0.151754,-1.0
59,UNS:0.04046,UNS:0.039399,UNS:0.038838,UNS:0.03879,UNS:0.038302,-1.0,UNS:0.03775,UNS:0.054965,UNS:0.039286,UNS:0.106965
60,UNS:0.040201,UNS:0.039023,UNS:0.038107,UNS:0.047976,UNS:0.04001,UNS:0.04118,UNS:0.050054,-1.0,UNS:0.038771,UNS:0.045276
61,UNS:0.038895,UNS:0.045687,UNS:0.039374,UNS:0.038243,UNS:0.038541,UNS:0.045772,UNS:0.044352,UNS:0.039243,-1.0,UNS:0.042463
62,UNS:0.039503,UNS:0.044095,UNS:0.040531,UNS:0.040121,UNS:0.039511,SAT:0.596037,UNS:0.041515,UNS:0.040345,UNS:0.04323,-1.0
63,UNS:0.038398,UNS:0.046444,UNS:0.039882,-1.0,UNS:0.054334,UNS:0.042858,UNS:0.039292,UNS:0.062972,UNS:0.045589,UNS:0.040285
64,UNS:0.038584,UNS:0.042064,UNS:0.117031,UNS:0.041907,UNS:0.049159,UNS:0.057314,UNS:0.04201,-1.0,UNS:0.040565,UNS:0.039466
65,UNS:0.04319,UNS:0.039648,UNS:0.038855,UNS:0.045601,-1.0,UNS:0.038643,UNS:0.04956,UNS:0.058294,UNS:0.039665,SAT:0.532457
66,UNS:0.105942,UNS:25.220707,SAT:3.237571,SAT:2.08724,SAT:0.807644,UNS:0.096536,-1.0,UNS:6.46002,UNS:0.093018,UNS:0.038658
67,UNS:0.038423,UNS:0.039364,UNS:0.038422,UNS:0.038801,-1.0,UNS:0.039901,UNS:0.039158,UNS:0.048637,UNS:0.038776,UNS:0.038448
68,UNS:0.040104,UNS:0.0412,UNS:0.038359,-1.0,UNS:0.038768,UNS:0.039289,UNS:0.038472,UNS:0.038561,UNS:0.0418,UNS:0.038287
69,-1.0,UNS:0.038866,UNS:0.037983,UNS:0.038735,UNS:0.062147,UNS:0.044617,UNS:0.041206,UNS:0.038728,UNS:0.038672,UNS:0.038775
70,UNS:0.038187,UNS:0.038719,UNS:0.041235,UNS:0.058858,UNS:0.044907,UNS:0.038145,UNS:0.038331,-1.0,UNS:0.037929,UNS:0.038784
71,-1.0,UNS:0.039285,UNS:0.123521,UNS:0.082176,UNS:0.064475,UNS:0.038421,UNS:0.040583,UNS:0.042158,UNS:0.039929,UNS:0.039499
72,UNS:0.047977,UNS:0.047614,-1.0,SAT:2.63236,UNS:0.039942,UNS:0.038573,UNS:0.03829,UNS:0.040724,UNS:0.039609,UNS:0.039453
73,UNS:0.039379,UNS:0.043127,UNS:0.040137,UNS:0.741155,UNS:0.037937,UNS:0.038814,UNS:0.038855,SAT:1.057466,SAT:0.791754,-1.0
74,UNS:0.041778,-1.0,UNS:0.040514,UNS:0.038273,UNS:0.040019,UNS:0.038435,UNS:0.044711,UNS:0.039135,UNS:0.041896,UNS:0.040577
75,UNS:0.047702,UNS:0.078141,UNS:0.038853,UNS:0.114278,UNS:0.040262,UNS:0.056173,UNS:0.039637,-1.0,UNS:0.038112,UNS:0.038524
76,UNS:0.038058,UNS:0.038483,UNS:0.038817,-1.0,UNS:0.040874,UNS:0.041578,UNS:0.042936,UNS:0.083365,UNS:0.038478,UNS:0.081823
77,UNS:0.096105,UNS:0.100327,-1.0,SAT:0.596709,SAT:4.793025,SAT:0.764044,UNS:0.091076,SAT:1.139092,SAT:0.988576,SAT:0.63787
78,UNS:0.039548,UNS:0.038539,UNS:0.069452,UNS:0.038692,UNS:0.039075,UNS:0.03951,UNS:0.038569,UNS:0.039352,UNS:0.041422,-1.0
79,UNS:0.038842,UNS:0.041221,UNS:0.040789,UNS:0.0397,UNS:0.049998,UNS:0.038131,UNS:0.037886,-1.0,UNS:0.039958,UNS:0.038391
80,UNS:0.049406,UNS:0.038436,UNS:0.05859,UNS:0.03826,UNS:0.037532,UNS:0.03844,UNS:0.072224,-1.0,UNS:0.123624,UNS:0.037813
81,UNS:0.041701,UNS:0.039371,UNS:0.057632,UNS:0.038939,UNS:0.038227,UNS:0.037808,-1.0,UNS:0.038858,UNS:0.04032,UNS:0.039459
82,UNS:0.038187,UNS:0.039583,-1.0,UNS:0.040182,UNS:0.038972,UNS:0.088414,UNS:0.037407,UNS:0.03859,UNS:0.038965,UNS:0.044836
83,UNS:0.037313,UNS:0.092651,UNS:0.041108,UNS:0.047909,UNS:0.04161,UNS:0.038968,UNS:0.038402,-1.0,UNS:0.038317,UNS:0.040004
84,UNS:0.039058,UNS:0.038199,UNS:0.037815,UNS:0.037946,UNS:0.041501,SAT:0.572682,UNS:0.12698,UNS:0.040847,-1.0,UNS:0.04203
85,UNS:0.038775,UNS:0.03937,UNS:0.065247,UNS:0.062168,-1.0,UNS:0.037745,UNS:0.03905,UNS:0.103326,UNS:0.037771,UNS:0.079379
86,UNS:0.03762,UNS:0.039986,UNS:0.039383,UNS:0.038561,UNS:0.037799,UNS:0.038059,UNS:0.037606,-1.0,UNS:0.038146,UNS:0.037631
87,UNS:0.136386,UNS:0.038711,UNS:0.039047,-1.0,UNS:0.03898,SAT:405.17453,UNS:0.043524,UNS:0.045129,UNS:0.039485,UNS:0.040024
88,UNS:0.043842,UNS:0.038878,UNS:0.038693,UNS:0.058563,UNS:0.038475,UNS:0.039484,-1.0,UNS:0.085782,UNS:0.039898,UNS:0.039882
