,0,1,2,3,4,5,6,7,8,9
57,UNS:0.040092,-1.0,UNS:0.040011,UNS:0.040631,UNS:0.040253,UNS:0.04219,UNS:0.044668,UNS:0.044774,UNS:0.03956,UNS:0.041506
58,UNS:0.038854,UNS:0.039551,UNS:0.040504,UNS:0.053637,UNS:0.041817,UNS:0.043069,UNS:0.04046,UNS:0.038679,UNS:0.03848,-1.0
59,UNS:0.039639,UNS:0.040548,UNS:0.038552,UNS:0.039161,UNS:0.040656,-1.0,UNS:0.039482,UNS:0.039185,UNS:0.038795,UNS:0.040125
60,UNS:0.040299,UNS:0.039105,UNS:0.042812,UNS:0.041086,UNS:0.039482,UNS:0.039773,UNS:0.042629,-1.0,UNS:0.04843,UNS:0.042872
61,UNS:0.039622,UNS:0.041542,UNS:0.039846,UNS:0.03844,UNS:0.039462,UNS:0.03873,UNS:0.038959,UNS:0.040464,-1.0,UNS:0.04052
62,UNS:0.039438,UNS:0.038685,UNS:0.04099,UNS:0.040103,UNS:0.039373,SAT:0.411639,UNS:0.04025,UNS:0.038627,UNS:0.050968,-1.0
63,UNS:0.039626,UNS:0.038912,UNS:0.042043,-1.0,UNS:0.039111,UNS:0.038579,UNS:0.040258,UNS:0.038541,UNS:0.039722,UNS:0.038956
64,UNS:0.038846,UNS:0.045984,UNS:0.039552,UNS:0.039455,UNS:0.043414,UNS:0.039333,UNS:0.040649,-1.0,UNS:0.043268,UNS:0.039603
65,UNS:0.039358,UNS:0.04014,UNS:0.04789,UNS:0.039382,-1.0,UNS:0.041578,UNS:0.04004,UNS:0.039699,UNS:0.038715,UNS:0.043125
66,UNS:0.038945,UNS:0.101511,SAT:3.076382,SAT:0.643396,SAT:0.792603,UNS:0.102908,-1.0,UNS:0.048154,UNS:0.105535,UNS:0.038672
67,UNS:0.043098,UNS:0.038616,UNS:0.042749,UNS:0.043189,-1.0,UNS:0.046152,UNS:0.038701,UNS:0.038735,UNS:0.039311,UNS:0.042323
68,UNS:0.038812,UNS:0.038222,UNS:0.040668,-1.0,UNS:0.039004,UNS:0.038938,UNS:0.039716,UNS:0.038809,UNS:0.041261,UNS:0.039181
69,-1.0,UNS:0.046352,UNS:0.040133,UNS:0.039489,UNS:0.043266,UNS:0.038964,UNS:0.039285,UNS:0.0396,UNS:0.038841,UNS:0.040098
70,UNS:0.037875,UNS:0.038553,UNS:0.038569,UNS:0.039997,UNS:0.038462,UNS:0.046863,UNS:0.040291,-1.0,UNS:0.040294,UNS:0.04215
71,-1.0,UNS:0.039387,UNS:0.040783,UNS:0.03874,UNS:0.038776,UNS:0.044708,UNS:0.049753,UNS:0.038529,UNS:0.040345,UNS:0.038006
72,UNS:0.040207,UNS:0.039495,-1.0,UNS:12.048484,UNS:0.040831,UNS:0.038122,UNS:0.03805,UNS:0.039531,UNS:0.043589,UNS:0.03864
73,UNS:0.042431,UNS:0.039163,UNS:0.03874,UNS:0.038146,UNS:0.041044,UNS:0.048295,UNS:0.046674,UNS:0.038106,UNS:0.108187,-1.0
74,UNS:0.040028,-1.0,UNS:0.041476,UNS:0.040081,UNS:0.039286,UNS:0.039313,UNS:0.039572,UNS:0.040889,UNS:0.042108,UNS:0.042218
75,UNS:0.040064,UNS:0.040231,UNS:0.041276,UNS:0.040943,UNS:0.039644,UNS:0.042192,UNS:0.039835,-1.0,UNS:0.038757,UNS:0.038815
76,UNS:0.039136,UNS:0.038336,UNS:0.043819,-1.0,UNS:0.03991,UNS:0.038023,UNS:0.03933,UNS:0.038795,UNS:0.038209,UNS:0.039074
77,UNS:0.097817,UNS:0.095401,-1.0,SAT:0.645996,UNS:0.220588,SAT:0.633785,UNS:0.041685,SAT:1.28347,SAT:1.362792,SAT:0.655939
78,UNS:0.039333,UNS:0.039128,UNS:0.038732,UNS:0.03847,UNS:0.03822,UNS:0.039716,UNS:0.043991,UNS:0.039946,UNS:0.039117,-1.0
79,UNS:0.038895,UNS:0.045545,UNS:0.04275,UNS:0.038436,UNS:0.043407,UNS:0.041007,UNS:0.038464,-1.0,UNS:0.044854,UNS:0.039745
80,UNS:0.040291,UNS:0.039165,UNS:0.038759,UNS:0.039217,UNS:0.039311,UNS:0.040451,UNS:0.040369,-1.0,UNS:0.039937,UNS:0.0388
81,UNS:0.046903,UNS:0.03855,UNS:0.039104,UNS:0.038737,UNS:0.041586,UNS:0.039032,-1.0,UNS:0.039146,UNS:0.038919,UNS:0.038669
82,UNS:0.037921,UNS:0.061462,-1.0,UNS:0.042904,UNS:0.038637,UNS:0.038561,UNS:0.046049,UNS:0.04064,UNS:0.038813,UNS:0.054108
83,UNS:0.038868,UNS:0.039512,UNS:0.040923,UNS:0.040573,UNS:0.038031,UNS:0.059356,UNS:0.043304,-1.0,UNS:0.057413,UNS:0.055589
84,UNS:0.050429,UNS:0.067205,UNS:0.038642,UNS:0.038686,UNS:0.047656,UNS:0.149959,UNS:0.039268,UNS:0.04174,-1.0,UNS:0.038294
85,UNS:0.039733,UNS:0.047554,UNS:0.051833,UNS:0.070283,-1.0,UNS:0.05516,UNS:0.058332,UNS:0.041013,UNS:0.054664,UNS:0.038939
