,0,1,2,3,4,5,6,7,8,9
57,UNS:0.039519,-1.0,UNS:0.03929,UNS:0.040696,UNS:0.038979,UNS:0.039468,UNS:0.043688,UNS:0.038804,UNS:0.041158,UNS:0.055584
58,UNS:0.073303,UNS:0.045568,UNS:0.053229,UNS:0.045315,UNS:0.054829,UNS:0.045125,UNS:0.042453,UNS:0.044074,UNS:0.052233,-1.0
59,UNS:0.040459,UNS:0.060269,UNS:0.088394,UNS:0.042644,UNS:0.072258,-1.0,UNS:0.094183,UNS:0.070122,UNS:0.052048,UNS:0.042371
60,UNS:0.039681,UNS:0.044285,UNS:0.044194,UNS:0.040692,UNS:0.042429,UNS:0.074883,UNS:0.067267,-1.0,UNS:0.057264,UNS:0.042732
61,UNS:0.041379,UNS:0.061906,UNS:0.040987,UNS:0.048404,UNS:0.039575,UNS:0.039251,UNS:0.038638,UNS:0.039371,-1.0,UNS:0.042611
62,UNS:0.041496,UNS:0.046049,UNS:0.038747,UNS:0.043671,UNS:0.042908,SAT:0.444611,-1.0,-1.0,-1.0,-1.0
63,UNS:0.041373,UNS:0.078885,UNS:0.041009,-1.0,UNS:0.103925,UNS:0.041392,UNS:0.041172,UNS:0.038947,UNS:0.040762,UNS:0.047789
64,UNS:0.039395,UNS:0.03995,UNS:0.099333,UNS:0.039112,UNS:0.038336,UNS:0.039044,UNS:0.042049,-1.0,UNS:0.039297,UNS:0.039368
65,UNS:0.040468,UNS:0.039728,UNS:0.041718,UNS:0.039849,-1.0,UNS:0.039224,UNS:0.040706,UNS:0.039103,UNS:0.041184,SAT:0.554298
66,UNS:0.116614,UNS:0.101125,SAT:3.444363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
67,UNS:0.038385,UNS:0.039898,UNS:0.042019,UNS:0.046374,-1.0,UNS:0.081711,UNS:0.041565,UNS:0.041837,UNS:0.038657,UNS:0.044158
68,UNS:0.040041,UNS:0.039254,UNS:0.040592,-1.0,UNS:0.038785,UNS:0.059646,UNS:0.041043,UNS:0.042643,UNS:0.04129,UNS:0.040392
69,-1.0,UNS:0.040764,UNS:0.04095,UNS:0.042002,UNS:0.078515,UNS:0.039756,UNS:0.0402,UNS:0.038221,UNS:0.039975,UNS:0.040122
70,UNS:0.039192,UNS:0.042031,UNS:0.079588,UNS:0.039997,UNS:0.039909,UNS:0.038863,UNS:0.038721,-1.0,UNS:0.038654,UNS:0.038803
71,-1.0,UNS:0.039312,UNS:0.038668,UNS:0.042479,UNS:0.039598,UNS:0.040239,UNS:0.038934,UNS:0.046988,UNS:0.044642,UNS:0.04107
72,UNS:0.057071,UNS:0.045241,-1.0,SAT:0.739682,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,UNS:0.037966,UNS:0.038804,UNS:0.039352,UNS:0.042431,UNS:0.038558,UNS:0.038498,UNS:0.039835,UNS:0.104132,SAT:0.821604,-1.0
74,UNS:0.039736,-1.0,UNS:0.043114,UNS:0.038593,UNS:0.041868,UNS:0.038421,UNS:0.038301,UNS:0.04711,UNS:0.041592,UNS:0.044102
75,UNS:0.039282,UNS:0.040437,UNS:0.038794,UNS:0.098419,UNS:0.038643,UNS:0.040905,UNS:0.038207,-1.0,UNS:0.041802,UNS:0.039768
76,UNS:0.039298,UNS:0.038546,UNS:0.039286,-1.0,UNS:0.040185,UNS:0.038919,UNS:0.042804,UNS:0.039263,UNS:0.041391,UNS:0.04308
77,UNS:0.103898,UNS:0.097163,-1.0,SAT:0.747128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78,UNS:0.038218,UNS:0.038561,UNS:0.038595,UNS:0.042666,UNS:0.048271,UNS:0.039132,UNS:0.039907,UNS:0.039497,UNS:0.041962,-1.0
79,UNS:0.038745,UNS:0.038703,UNS:0.038973,UNS:0.039185,UNS:0.039363,UNS:0.038305,UNS:0.045002,-1.0,UNS:0.038329,UNS:0.039563
80,UNS:0.038706,UNS:0.042414,UNS:0.039308,UNS:0.038913,UNS:0.039263,UNS:0.038565,UNS:0.038433,-1.0,UNS:0.043272,UNS:0.038578
81,UNS:0.039047,UNS:0.04008,UNS:0.039717,UNS:0.038866,UNS:0.039319,UNS:0.049002,-1.0,UNS:0.039262,UNS:0.038825,UNS:0.039476
82,UNS:0.038902,UNS:0.03937,-1.0,UNS:0.040373,UNS:0.038186,UNS:0.039725,UNS:0.03902,UNS:0.041194,UNS:0.045342,UNS:0.038485
83,UNS:0.040395,UNS:0.038281,UNS:0.039105,UNS:0.041707,UNS:0.040653,UNS:0.038494,UNS:0.039123,-1.0,UNS:0.039988,UNS:0.039105
84,UNS:0.061525,UNS:0.038252,UNS:0.039394,UNS:0.038654,UNS:0.04114,SAT:1.612314,-1.0,-1.0,-1.0,-1.0
85,UNS:0.041846,UNS:0.039065,UNS:0.038488,UNS:0.040545,-1.0,UNS:0.043053,UNS:0.042299,UNS:0.03919,UNS:0.041101,UNS:0.045363
86,UNS:0.045575,UNS:0.046474,UNS:0.040975,UNS:0.039713,UNS:0.0419,UNS:0.049945,UNS:0.041259,-1.0,UNS:0.045154,UNS:0.039673
87,UNS:0.040924,UNS:0.039198,UNS:0.039477,-1.0,UNS:0.044238,SAT:0.880807,-1.0,-1.0,-1.0,-1.0
88,UNS:0.045618,UNS:0.042039,UNS:0.039676,UNS:0.038572,UNS:0.042836,UNS:0.064282,-1.0,UNS:0.042665,UNS:0.046603,UNS:0.049058
89,UNS:0.035293,-1.0,UNS:0.040319,UNS:0.051983,UNS:0.050608,UNS:0.039163,UNS:0.039634,UNS:0.044357,UNS:0.038027,UNS:0.036693
90,UNS:0.034779,UNS:0.044992,UNS:0.050574,-1.0,UNS:0.047073,UNS:0.041987,UNS:0.041053,UNS:0.042131,UNS:0.038837,UNS:0.039957
91,UNS:0.047665,UNS:0.041291,UNS:0.041495,UNS:0.043861,UNS:0.042822,UNS:0.040687,-1.0,UNS:0.05008,UNS:0.041008,UNS:0.038428
92,UNS:0.039832,UNS:0.039514,UNS:0.041097,UNS:0.040794,SAT:0.425281,-1.0,-1.0,-1.0,-1.0,-1.0
